pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_met,st_meterr1,st_meterr2,st_metlim
0.202000,0.072000,-0.051000,0,0.000,0.044,-0.044,0
1.550000,0.160000,-0.160000,0,0.430,0.080,-0.080,0
0.490000,0.130000,-0.130000,0,0.010,0.077,-0.077,0
5.100000,3.300000,-2.300000,0,0.470,0.041,-0.041,0
0.830000,0.280000,-0.280000,0,0.220,0.070,-0.070,0
0.191000,0.054000,-0.038000,0,0.050,0.041,-0.041,0
0.560000,0.190000,-0.190000,0,0.320,0.071,-0.071,0
0.410000,0.160000,-0.110000,0,0.020,0.068,-0.068,0
0.280000,0.120000,-0.120000,0,-0.060,0.046,-0.046,0
0.331000,0.027000,-0.027000,0,-0.113,0.035,-0.035,0
0.589000,0.067000,-0.067000,0,0.186,0.051,-0.051,0
0.986000,0.094000,-0.094000,0,0.208,0.053,-0.053,0
0.390000,0.040000,-0.040000,0,0.190,0.080,-0.080,0
0.330000,0.110000,-0.110000,0,,,,
0.340000,0.160000,-0.110000,0,,,,
1.060000,0.190000,-0.190000,0,-0.284,0.081,-0.081,0
0.303000,0.055000,-0.055000,0,,,,
0.770000,0.160000,-0.160000,0,0.370,0.070,-0.070,0
0.587000,0.062000,-0.062000,0,0.108,0.046,-0.030,0
0.155000,0.017000,-0.013000,0,0.190,0.024,-0.024,0
2.650000,0.210000,-0.210000,0,0.268,0.043,-0.043,0
0.960000,0.270000,-0.270000,0,,,,
0.700000,0.160000,-0.160000,0,0.180,0.064,-0.064,0
11.900000,,,0,0.180,0.064,-0.064,0
0.399000,0.089000,-0.089000,0,0.200,0.091,-0.091,0
0.537000,0.100000,-0.070000,0,0.335,0.028,-0.028,0
2.470000,0.440000,-0.440000,0,0.247,0.037,-0.037,0
0.076000,0.053000,-0.053000,0,0.133,0.023,-0.023,0
0.670000,0.110000,-0.110000,0,0.081,0.038,-0.038,0
0.245000,0.068000,-0.050000,0,0.220,0.039,-0.039,0
0.300000,0.039000,-0.039000,0,0.199,0.055,-0.055,0
2.340000,0.560000,-0.430000,0,-0.017,0.043,-0.043,0
0.374000,0.047000,-0.047000,0,0.332,0.052,-0.052,0
0.856000,0.083000,-0.083000,0,0.210,0.043,-0.043,0
0.460000,0.250000,-0.250000,0,0.377,0.034,-0.034,0
0.830000,0.180000,-0.180000,0,0.250,0.080,-0.080,0
6.640000,1.600000,-1.300000,0,0.041,0.095,-0.107,0
0.420000,0.280000,-0.280000,0,0.170,0.036,-0.036,0
0.411000,0.015000,-0.010000,0,0.099,0.014,-0.014,0
1.640000,0.190000,-0.190000,0,0.514,0.033,-0.021,0
0.878000,0.084000,-0.084000,0,0.522,0.051,-0.028,0
2.580000,0.230000,-0.230000,0,0.322,0.065,-0.049,0
1.077000,0.112000,-0.081000,0,0.253,0.039,-0.039,0
0.259000,0.091000,-0.091000,0,0.210,0.080,-0.080,0
0.626000,0.029000,-0.022000,0,0.380,0.050,-0.050,0
2.840000,,,0,,,,
1.140000,,,0,0.070,,,0
0.684000,,,0,0.250,,,0
1.440000,,,0,0.080,0.010,-0.010,0
1.570000,,,0,0.080,0.010,-0.010,0
0.881000,,,0,0.080,0.010,-0.010,0
0.913000,,,0,0.080,0.010,-0.010,0
0.993000,,,0,0.080,0.010,-0.010,0
0.426000,,,0,0.080,0.010,-0.010,0
0.367000,,,0,0.150,,,0
0.489000,,,0,0.280,,,0
0.250000,,,0,0.040,,,0
4.020000,,,0,-0.410,,,0
7.120000,,,0,0.050,,,0
1.080000,,,0,0.300,0.030,-0.030,0
1.240000,,,0,-0.260,,,0
0.278000,,,0,0.160,0.050,-0.050,0
0.638000,,,0,0.190,0.040,-0.040,0
0.793000,,,0,0.220,,,0
0.386000,,,0,-0.020,0.060,-0.060,0
